category,task_name,complexity,task_category,pass_at_1,pass_at_3,pass_at_5,pass_at_10,best_score,average_score,worst_score,successful_attempts,total_attempts,evaluation_time
basic,wire_to_reg,simple,signal_modification,1.0,1.0,1.0,1.0,0.8230000000000001,0.7661250000000001,0.74175,10,10,201.04165410995483
basic,signal_rename,simple,signal_modification,0.0,1.0,1.0,1.0,0.7714285714285715,0.574857142857143,0.1591071428571429,6,10,1320.668894290924
basic,module_name_change,simple,structural_modification,1.0,1.0,1.0,1.0,0.9671428571428572,0.8116428571428571,0.6946428571428572,10,10,189.11727380752563
basic,signal_width_change,simple,signal_modification,1.0,1.0,1.0,1.0,0.8250000000000001,0.6841250000000001,0.17625000000000002,8,10,450.65801668167114
intermediate,multi_signal_width,medium,signal_modification,1.0,1.0,1.0,1.0,0.8266666666666667,0.6859833333333334,0.16991666666666666,9,10,1486.7915318012238
intermediate,reset_condition_change,medium,control_logic,1.0,1.0,1.0,1.0,0.8500000000000001,0.6366250000000001,0.17425000000000002,7,10,243.0880630016327
intermediate,add_enable_signal,medium,feature_addition,1.0,1.0,1.0,1.0,0.8450000000000001,0.508,0.17125,4,10,2600.5856850147247
intermediate,array_base_type_change,medium,type_modification,0.0,0.0,1.0,1.0,0.7175,0.5221250000000001,0.18,4,10,1393.8780477046967
advanced,fsm_state_rename,complex,fsm_modification,1.0,1.0,1.0,1.0,0.8370000000000001,0.737725,0.5005,8,10,173.23265171051025
advanced,queue_mda_conversion,complex,advanced_arrays,0.0,1.0,1.0,1.0,0.6937500000000001,0.28132500000000005,0.14125000000000001,1,10,107.35758924484253
advanced,dynamic_mda_conversion,complex,advanced_arrays,0.0,0.0,1.0,1.0,0.811,0.29510000000000003,0.14625000000000002,2,10,1350.9251618385315
advanced,associative_mda_conversion,complex,advanced_arrays,1.0,1.0,1.0,1.0,0.798,0.63605,0.17925000000000002,8,10,1399.6941232681274
advanced,inside_op_coverage,novel,verification,0.0,0.0,0.0,0.0,0.5820000000000001,0.28432500000000005,0.16525,0,10,1309.1531083583832
advanced,advanced_debug_insertion,novel,debug_enhancement,1.0,1.0,1.0,1.0,0.94875,0.5658821428571429,0.16153571428571428,5,10,1833.2531838417053
advanced,performance_optimization,novel,optimization,0.0,0.0,1.0,1.0,0.7295,0.33985000000000004,0.11625,2,10,2505.4487524032593
